shard_id,split,shard_index,peak_rss_bytes,peak_rss_mb
train-00263-of-00406,train,263,1050574848,1001.90625
train-00264-of-00406,train,264,1054986240,1006.11328125
train-00265-of-00406,train,265,1063796736,1014.515625
train-00266-of-00406,train,266,1059631104,1010.54296875
train-00267-of-00406,train,267,1042522112,994.2265625
train-00268-of-00406,train,268,1052098560,1003.359375
train-00269-of-00406,train,269,1043779584,995.42578125
train-00270-of-00406,train,270,1048473600,999.90234375
train-00271-of-00406,train,271,1060331520,1011.2109375
train-00272-of-00406,train,272,1046319104,997.84765625
train-00273-of-00406,train,273,1062653952,1013.42578125
train-00274-of-00406,train,274,1047199744,998.6875
train-00275-of-00406,train,275,1041649664,993.39453125
train-00276-of-00406,train,276,1062858752,1013.62109375
train-00277-of-00406,train,277,1056333824,1007.3984375
train-00278-of-00406,train,278,1070469120,1020.87890625
train-00279-of-00406,train,279,1049661440,1001.03515625
train-00280-of-00406,train,280,1045110784,996.6953125
train-00281-of-00406,train,281,1036853248,988.8203125
train-00282-of-00406,train,282,1054371840,1005.52734375
train-00283-of-00406,train,283,1057378304,1008.39453125
train-00284-of-00406,train,284,1049006080,1000.41015625
train-00285-of-00406,train,285,1057439744,1008.453125
train-00286-of-00406,train,286,1045364736,996.9375
train-00287-of-00406,train,287,1053597696,1004.7890625
train-00288-of-00406,train,288,1060388864,1011.265625
train-00289-of-00406,train,289,1061502976,1012.328125
train-00290-of-00406,train,290,1055707136,1006.80078125
train-00291-of-00406,train,291,1051734016,1003.01171875
train-00292-of-00406,train,292,1044508672,996.12109375
train-00293-of-00406,train,293,1057783808,1008.78125
train-00294-of-00406,train,294,1050050560,1001.40625
train-00295-of-00406,train,295,1057685504,1008.6875
train-00296-of-00406,train,296,1044697088,996.30078125
train-00297-of-00406,train,297,1058226176,1009.203125
train-00298-of-00406,train,298,1056788480,1007.83203125
train-00299-of-00406,train,299,1038950400,990.8203125
train-00300-of-00406,train,300,1048674304,1000.09375
train-00301-of-00406,train,301,1055715328,1006.80859375
train-00302-of-00406,train,302,1057579008,1008.5859375
train-00303-of-00406,train,303,1067196416,1017.7578125
train-00304-of-00406,train,304,1043288064,994.95703125
train-00305-of-00406,train,305,1047146496,998.63671875
train-00306-of-00406,train,306,1048879104,1000.2890625
train-00307-of-00406,train,307,1061777408,1012.58984375
train-00308-of-00406,train,308,1048666112,1000.0859375
train-00309-of-00406,train,309,1036623872,988.6015625
train-00310-of-00406,train,310,1051025408,1002.3359375
train-00311-of-00406,train,311,1038434304,990.328125
train-00312-of-00406,train,312,1052798976,1004.02734375
train-00313-of-00406,train,313,1054019584,1005.19140625
train-00314-of-00406,train,314,1045049344,996.63671875
train-00315-of-00406,train,315,1059516416,1010.43359375
train-00316-of-00406,train,316,1052798976,1004.02734375
train-00317-of-00406,train,317,1054232576,1005.39453125
train-00318-of-00406,train,318,1037885440,989.8046875
train-00319-of-00406,train,319,1052184576,1003.44140625
train-00320-of-00406,train,320,1044287488,995.91015625
train-00321-of-00406,train,321,1044144128,995.7734375
train-00322-of-00406,train,322,1045331968,996.90625
train-00323-of-00406,train,323,1048018944,999.46875
train-00324-of-00406,train,324,1057812480,1008.80859375
train-00325-of-00406,train,325,1054404608,1005.55859375
train-00326-of-00406,train,326,1050177536,1001.52734375
train-00327-of-00406,train,327,1036242944,988.23828125
train-00328-of-00406,train,328,1053388800,1004.58984375
train-00329-of-00406,train,329,1050636288,1001.96484375
train-00330-of-00406,train,330,1043070976,994.75
train-00331-of-00406,train,331,1044811776,996.41015625
train-00332-of-00406,train,332,1047945216,999.3984375
train-00333-of-00406,train,333,1044422656,996.0390625
train-00334-of-00406,train,334,1037430784,989.37109375
train-00335-of-00406,train,335,1044819968,996.41796875
train-00336-of-00406,train,336,1051054080,1002.36328125
train-00337-of-00406,train,337,1045401600,996.97265625
train-00338-of-00406,train,338,1045852160,997.40234375
train-00339-of-00406,train,339,1054461952,1005.61328125
train-00340-of-00406,train,340,1052254208,1003.5078125
train-00341-of-00406,train,341,1061380096,1012.2109375
train-00342-of-00406,train,342,1094750208,1044.03515625
train-00343-of-00406,train,343,1049186304,1000.58203125
train-00344-of-00406,train,344,1055621120,1006.71875
train-00345-of-00406,train,345,1051430912,1002.72265625
train-00346-of-00406,train,346,1078153216,1028.20703125
train-00347-of-00406,train,347,1074171904,1024.41015625
train-00348-of-00406,train,348,1088851968,1038.41015625
train-00349-of-00406,train,349,1085296640,1035.01953125
train-00350-of-00406,train,350,1081683968,1031.57421875
train-00351-of-00406,train,351,1073967104,1024.21484375
train-00352-of-00406,train,352,1078702080,1028.73046875
train-00353-of-00406,train,353,1076064256,1026.21484375
train-00354-of-00406,train,354,1075556352,1025.73046875
train-00355-of-00406,train,355,1059282944,1010.2109375
train-00356-of-00406,train,356,1065140224,1015.796875
train-00357-of-00406,train,357,1062985728,1013.7421875
train-00358-of-00406,train,358,1089576960,1039.1015625
train-00359-of-00406,train,359,1069699072,1020.14453125
train-00360-of-00406,train,360,1077411840,1027.5
train-00361-of-00406,train,361,1075609600,1025.78125
train-00362-of-00406,train,362,1079320576,1029.3203125
train-00363-of-00406,train,363,1070870528,1021.26171875
train-00364-of-00406,train,364,1078362112,1028.40625
train-00365-of-00406,train,365,1063141376,1013.890625
train-00366-of-00406,train,366,1078169600,1028.22265625
train-00367-of-00406,train,367,1074667520,1024.8828125
train-00368-of-00406,train,368,1066360832,1016.9609375
train-00369-of-00406,train,369,1073471488,1023.7421875
train-00370-of-00406,train,370,1070542848,1020.94921875
train-00371-of-00406,train,371,1070419968,1020.83203125
train-00372-of-00406,train,372,1068347392,1018.85546875
train-00373-of-00406,train,373,1068265472,1018.77734375
train-00374-of-00406,train,374,1078681600,1028.7109375
train-00375-of-00406,train,375,1076338688,1026.4765625
train-00376-of-00406,train,376,1075474432,1025.65234375
train-00377-of-00406,train,377,1087320064,1036.94921875
train-00378-of-00406,train,378,1096507392,1045.7109375
train-00379-of-00406,train,379,1083105280,1032.9296875
train-00380-of-00406,train,380,1090846720,1040.3125
train-00381-of-00406,train,381,1077358592,1027.44921875
train-00382-of-00406,train,382,1075388416,1025.5703125
train-00383-of-00406,train,383,1104674816,1053.5
train-00384-of-00406,train,384,1080111104,1030.07421875
train-00385-of-00406,train,385,1082691584,1032.53515625
train-00386-of-00406,train,386,1072398336,1022.71875
train-00387-of-00406,train,387,1072361472,1022.68359375
train-00388-of-00406,train,388,1063743488,1014.46484375
train-00389-of-00406,train,389,1110065152,1058.640625
train-00390-of-00406,train,390,1082683392,1032.52734375
train-00391-of-00406,train,391,1101959168,1050.91015625
train-00392-of-00406,train,392,1083785216,1033.578125
train-00393-of-00406,train,393,1061388288,1012.21875
train-00394-of-00406,train,394,1081044992,1030.96484375
train-00395-of-00406,train,395,1064841216,1015.51171875
train-00396-of-00406,train,396,1082621952,1032.46875
train-00397-of-00406,train,397,1083838464,1033.62890625
train-00398-of-00406,train,398,1078521856,1028.55859375
train-00399-of-00406,train,399,1070727168,1021.125
train-00400-of-00406,train,400,1080745984,1030.6796875
train-00401-of-00406,train,401,1081495552,1031.39453125
train-00402-of-00406,train,402,1071964160,1022.3046875
train-00403-of-00406,train,403,1082159104,1032.02734375
train-00404-of-00406,train,404,1079574528,1029.5625
train-00405-of-00406,train,405,1079980032,1029.94921875
